Package,City,Place Tourism1,Place Tourism2,Place Tourism3,Place Tourism4,Place Tourism5,Place Tourism6,Place Tourism7,Place Tourism8
5633,Semarang,Indonesia Kaya Park,Flower Farm Setiya Aji,Saloka Theme Park,Taman Pandanaran,Taman Pandanaran,Taman Pandanaran,Taman Pandanaran,Taman Pandanaran
5634,Semarang,GPIB Immanuel Semarang (Gereja Blenduk),Watu Gunung Ungaran,Pantai Baruna,,,,,
5635,Semarang,Indonesia Kaya Park,La Kana Chapel,Taman Kasmaran,Pura Giri Natha,Pantai Marina,Pura Giri Natha,Pantai Marina,Pantai Marina
5636,Surabaya,Monumen Jalesveva Jayamahe,Ekowisata Mangrove Wonorejo,Kebun Binatang Surabaya,Ciputra Waterpark,,Ciputra Waterpark,,
5637,Jakarta,Museum Layang-layang,Museum Layang-layang,Taman Impian Jaya Ancol,Taman Ayodya,Taman Spathodea,Taman Ayodya,Taman Spathodea,Taman Spathodea
5638,Semarang,Durian Gardens and Tourism Education Watu Simbar,Semarang Contemporary Art Gallery,Hutan Wisata Tinjomoyo Semarang,Old City 3D Trick Art Museum,Old City 3D Trick Art Museum,Old City 3D Trick Art Museum,Old City 3D Trick Art Museum,Old City 3D Trick Art Museum
5639,Yogyakarta,Monumen Serangan Umum 1 Maret,Kauman Pakualaman Yogyakarta,Wisata Kaliurang,,,,,
5640,Surabaya,Taman Keputran,Gereja Perawan Maria Tak Berdosa Surabaya,Monumen Tugu Pahlawan,Kampoeng Rawa,,Kampoeng Rawa,,
5641,Surabaya,Hutan Pinus Kayon,Waterpark Kenjeran Surabaya,Patung Buddha Empat Rupa,Taman Kunang-Kunang,,Taman Kunang-Kunang,,
5642,Surabaya,Museum Sepuluh Nopember Kota Surabaya,Kenjeran Park,Hutan Pinus Kayon,Hutan Pinus Kayon,,Hutan Pinus Kayon,,
5643,Yogyakarta,Bentara Budaya Yogyakarta (BBY),Candi Prambanan,Pantai Nglambor,Pantai Glagah,,Pantai Glagah,,
5644,Bandung,Teras Cikapundung BBWS,Kawah Putih,Masjid Raya Bandung,Roemah Seni Sarasvati,,Roemah Seni Sarasvati,,
5645,Semarang,Kampung Tematik Jawi,Semarang Gallery,Museum Kereta Ambarawa,Museum Kereta Ambarawa,Semarang Gallery,Museum Kereta Ambarawa,Semarang Gallery,Semarang Gallery
5646,Bandung,Museum Konferensi Asia Afrika,Gereja Katedral Santo Petrus Bandung,Taman Sejarah Bandung,Panghegar Waterboom Bandung,Alun-Alun Kota Bandung,Panghegar Waterboom Bandung,Alun-Alun Kota Bandung,Alun-Alun Kota Bandung
5647,Semarang,Pura Giri Natha,Kampung Pelangi,Masjid Agung Ungaran,Kota Lama Semarang,Pantai Baruna,Kota Lama Semarang,Pantai Baruna,Pantai Baruna
5648,Yogyakarta,Galaxy Waterpark Jogja,Wisata Kaliurang,Pantai Glagah,,,,,
5649,Yogyakarta,Bukit Wisata Pulepayung,Hutan Pinus Pengger,Kampung Wisata Taman Sari,,,,,
5650,Bandung,Dago Dreampark,Museum Mandala Wangsit Siliwangi,Glamping Lakeside Rancabali,Monumen Perjuangan Rakyat Jawa Barat,,Monumen Perjuangan Rakyat Jawa Barat,,
5651,Yogyakarta,Pantai Parangtritis,Pantai Indrayanti,Geoforest Watu Payung Turunan,,,,,
5652,Jakarta,Perpustakaan Nasional,Taman Cattleya,Museum Joang 45,Klenteng Jin De Yuan,,Klenteng Jin De Yuan,,
5653,Jakarta,Galeri Indonesia Kaya,Pasar Taman Puring,Taman Spathodea,Museum Sumpah Pemuda,,Museum Sumpah Pemuda,,
5654,Jakarta,Museum Bank Indonesia,Jembatan Kota Intan,Ocean Ecopark,Taman Spathodea,,Taman Spathodea,,
5655,Bandung,Lembang Park & Zoo,Monumen Bandung Lautan Api,Masjid Pusdai,Museum Pos Indonesia,Taman Balai Kota Bandung,Museum Pos Indonesia,Taman Balai Kota Bandung,Taman Balai Kota Bandung
5656,Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,Museum Kesehatan Dr. Adhyatma,Food Junction Grand Pakuwon,Monumen Kapal Selam,,Monumen Kapal Selam,,
5657,Yogyakarta,Monumen Sanapati,Pantai Glagah,Kebun Teh Nglinggo,Alun Alun Selatan Yogyakarta,,Alun Alun Selatan Yogyakarta,,
5658,Yogyakarta,Bendung Lepen,Kebun Teh Nglinggo,Pantai Patihan,,,,,
5659,Jakarta,Galeri Indonesia Kaya,Wisata Kuliner Pecenongan,SnowBay Waterpark,Taman Mini Indonesia Indah (TMII),,Taman Mini Indonesia Indah (TMII),,
5660,Yogyakarta,Sindu Kusuma Edupark (SKE),Taman Pelangi Jogja,Alun Alun Selatan Yogyakarta,,,,,
5661,Jakarta,Waterboom PIK (Pantai Indah Kapuk),Gereja Katedral,Perpustakaan Nasional,Museum Bahari Jakarta,,Museum Bahari Jakarta,,
5662,Surabaya,Taman Bungkul,Hutan Pinus Kayon,Waterpark Kenjeran Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,Patung Sura dan Buaya,Gereja Perawan Maria Tak Berdosa Surabaya,Patung Sura dan Buaya,Patung Sura dan Buaya
5663,Surabaya,Taman Harmoni Keputih,Taman Bungkul,Kampoeng Rawa,Masjid Muhammad Cheng Hoo,,Masjid Muhammad Cheng Hoo,,
5664,Yogyakarta,Pantai Samas,Pantai Sundak,Pasar Kebon Empring Bintaran,Alun Alun Selatan Yogyakarta,,Alun Alun Selatan Yogyakarta,,
5665,Bandung, Panama Park 825,Taman Hutan Raya Ir. H. Djuanda,Curug Cipanas,Museum Pos Indonesia,,Museum Pos Indonesia,,
5666,Surabaya,Taman Air Mancur Menari Kenjeran,Museum Kesehatan Dr. Adhyatma,Hutan Bambu Keputih,Taman Ekspresi Dan Perpustakaan,,Taman Ekspresi Dan Perpustakaan,,
5667,Jakarta,Museum Fatahillah,Pasar Petak Sembilan,Pulau Bidadari,Museum Seni Rupa dan Kramik,,Museum Seni Rupa dan Kramik,,
5668,Yogyakarta,Galaxy Waterpark Jogja,Candi Borobudur,Pantai Patihan,Hutan Mangrove Kulon Progo,,Hutan Mangrove Kulon Progo,,
5669,Semarang,Semarang Chinatown,Obyek Wisata Goa Kreo,Jembatan Biru Ambarawa,Lawang Sewu,Jembatan Biru Ambarawa,Lawang Sewu,Jembatan Biru Ambarawa,Jembatan Biru Ambarawa
5670,Yogyakarta,Taman Pelangi Jogja,Taman Pelangi Yogyakarta,Pantai Drini,,,,,
5671,Surabaya,Taman Keputran,Taman Hiburan Rakyat,Monumen Jalesveva Jayamahe,Taman Barunawati,,Taman Barunawati,,
5672,Semarang,Monumen Palagan Ambarawa,Saloka Theme Park,Obyek Wisata Goa Kreo,Museum Kereta Ambarawa,Watu Gunung Ungaran,Museum Kereta Ambarawa,Watu Gunung Ungaran,Watu Gunung Ungaran
5673,Bandung,Teras Cikapundung BBWS,Kebun Binatang Bandung,Bukit Jamur,Jendela Alam,Taman Kupu-Kupu Cihanjuang,Jendela Alam,Taman Kupu-Kupu Cihanjuang,Taman Kupu-Kupu Cihanjuang
5674,Surabaya,Surabaya Museum (Gedung Siola),Hutan Pinus Kayon,Air Mancur Menari,Air Mancur Menari,,Air Mancur Menari,,
5675,Yogyakarta,Hutan Pinus Asri,Bunker Kaliadem Merapi,Pintoe Langit Dahromo,Watu Goyang,,Watu Goyang,,
5676,Bandung,Orchid Forest Cikole,Caringin Tilu,Museum Pos Indonesia,,,,,
5677,Bandung,Bukit Jamur,Taman Vanda,Glamping Lakeside Rancabali,Rainbow Garden,Tebing Karaton,Rainbow Garden,Tebing Karaton,Tebing Karaton
5678,Surabaya,| Food Junction Grand Pakuwon,Taman Kunang-Kunang,Taman Pelangi,Taman Flora Bratang Surabaya,,Taman Flora Bratang Surabaya,,
5679,Jakarta,Taman Impian Jaya Ancol,Museum Wayang,Grand Indonesia Mall,Museum Fatahillah,,Museum Fatahillah,,
5680,Surabaya,Museum De Javasche Bank,Taman Buah Surabaya,Masjid Nasional Al-Akbar,Taman Buah Surabaya,,Taman Buah Surabaya,,
5681,Semarang,Kampoeng Djadhoel Semarang,Flower Farm Setiya Aji,Wisata Alam Wana Wisata Penggaron,,,,,
5682,Bandung,Saung Angklung Mang Udjo,Curug Luhur Waterfall,Museum Pos Indonesia,Roemah Seni Sarasvati,Monumen Perjuangan Rakyat Jawa Barat,Roemah Seni Sarasvati,Monumen Perjuangan Rakyat Jawa Barat,Monumen Perjuangan Rakyat Jawa Barat
5683,Yogyakarta,Pantai Glagah,Pantai Jogan,Pantai Ngrenehan,,,,,
5684,Yogyakarta,Bukit Lintang Sewu,Watu Lumbung,Desa Wisata Sungai Code Jogja Kota,,,,,
5685,Jakarta,Monas,Museum Satria Mandala,Pasar Tanah Abang,Monas,,Monas,,
5686,Semarang,Taman Pandanaran, Pantai Cipta,Indonesia Kaya Park,Benteng Pendem,Semarang Contemporary Art Gallery,Benteng Pendem,Semarang Contemporary Art Gallery,Semarang Contemporary Art Gallery
5687,Jakarta,Taman Lapangan Banteng,Museum Perangko,Taman Ayodya,Alive Museum Ancol,,Alive Museum Ancol,,
5688,Surabaya,Masjid Muhammad Cheng Hoo,Klenteng Sanggar Agung,Museum Sepuluh Nopember Kota Surabaya,,,,,
5689,Jakarta,Taman Ayodya,Taman Ayodya,Museum Layang-layang,Galeri Indonesia Kaya,,Galeri Indonesia Kaya,,
5690,Bandung,Lawangwangi Creative Space,Kebun Binatang Bandung,Stone Garden Geopark,Kampung Korea Bandung,Panghegar Waterboom Bandung,Kampung Korea Bandung,Panghegar Waterboom Bandung,Panghegar Waterboom Bandung
5691,Jakarta,Jakarta Aquarium dan Safari,Museum Nasional,Taman Suropati,Perpustakaan Nasional,,Perpustakaan Nasional,,
5692,Yogyakarta,De Mata Museum Jogja,Kampung Wisata Taman Sari,Bentara Budaya Yogyakarta (BBY),Seribu Batu Songgo Langit,Candi Borobudur,Seribu Batu Songgo Langit,Candi Borobudur,Candi Borobudur
5693,Bandung,Kota Mini,Taman Kupu-Kupu Cihanjuang,Masjid Raya Bandung,Taman Lansia,Curug Malela,Taman Lansia,Curug Malela,Curug Malela
5694,Jakarta,Taman Lapangan Banteng,Taman Spathodea,Alive Museum Ancol,Galeri Indonesia Kaya,,Galeri Indonesia Kaya,,
5695,Surabaya,Surabaya Museum (Gedung Siola),Patung Buddha Empat Rupa,Kebun Binatang Surabaya,Balai Kota Surabaya,,Balai Kota Surabaya,,
5696,Bandung,Lawangwangi Creative Space,Taman Begonia,Tafso Barn,Kebun Tanaman Obat Sari Alam,Saung Angklung Mang Udjo,Kebun Tanaman Obat Sari Alam,Saung Angklung Mang Udjo,Saung Angklung Mang Udjo
5697,Bandung,Museum Konferensi Asia Afrika, Panama Park 825,Curug Malela,Museum Sri Baduga,Tafso Barn,Museum Sri Baduga,Tafso Barn,Tafso Barn
5698,Jakarta,Taman Menteng,Taman Ayodya,Jembatan Kota Intan,Museum Tekstil,,Museum Tekstil,,
5699,Bandung,Kebun Binatang Bandung,Gua Pawon,Tebing Karaton,Water Park Bandung Indah,,Water Park Bandung Indah,,
5700,Yogyakarta,Seribu Batu Songgo Langit,Goa Rancang Kencono,Tebing Breksi,Nol Kilometer Jl.Malioboro,,Nol Kilometer Jl.Malioboro,,
5701,Semarang,Masjid Agung Ungaran,Hutan Wisata Tinjomoyo Semarang,Monumen Palagan Ambarawa,Wisata Alam Wana Wisata Penggaron,Kampung Pelangi,Wisata Alam Wana Wisata Penggaron,Kampung Pelangi,Kampung Pelangi
5702,Jakarta,Wisata Kuliner Pecenongan,Jakarta Aquarium dan Safari,Museum Taman Prasasti,Museum Perangko,,Museum Perangko,,
5703,Semarang,Air Terjun Semirang,Umbul Sidomukti,Kampung Pelangi,Taman Tabanas,Taman Srigunting,Taman Tabanas,Taman Srigunting,Taman Srigunting
5704,Surabaya,Surabaya Museum (Gedung Siola),Patung Buddha Empat Rupa,Taman Air Mancur Menari Kenjeran,,,,,
5705,Bandung,Taman Kupu-Kupu Cihanjuang,Stone Garden Geopark,Kawah Putih,Taman Film,Gunung Papandayan,Taman Film,Gunung Papandayan,Gunung Papandayan
5706,Jakarta,Museum Joang 45,SnowBay Waterpark,Taman Ayodya,Museum Layang-layang,,Museum Layang-layang,,
5707,Semarang,Watu Gunung Ungaran,Semarang Chinatown,Lawang Sewu,Durian Gardens and Tourism Education Watu Simbar,Jembatan Biru Ambarawa,Durian Gardens and Tourism Education Watu Simbar,Jembatan Biru Ambarawa,Jembatan Biru Ambarawa
5708,Semarang,Water Blaster Bukit Candi Golf,Indonesia Kaya Park,Museum Kereta Ambarawa,Wisata Mangrove Tapak,Kampoeng Djadhoel Semarang,Wisata Mangrove Tapak,Kampoeng Djadhoel Semarang,Kampoeng Djadhoel Semarang
5709,Surabaya,Taman Kunang-Kunang,Ciputra Waterpark,Klenteng Sanggar Agung,Taman Flora Bratang Surabaya,Taman Bungkul,Taman Flora Bratang Surabaya,Taman Bungkul,Taman Bungkul
5710,Bandung,Monumen Bandung Lautan Api,Lembang Park & Zoo,Monumen Perjuangan Rakyat Jawa Barat,Dago Dreampark,Curug Cipanas,Dago Dreampark,Curug Cipanas,Curug Cipanas
5711,Bandung,Chingu Cafe Little Seoul,Saung Angklung Mang Udjo,Museum Gedung Sate,Curug Dago,Kota Mini,Curug Dago,Kota Mini,Kota Mini
5712,Jakarta,Museum Satria Mandala,Taman Agrowisata Cilangkap,Wisata Kuliner Pecenongan,Pulau Pramuka,,Pulau Pramuka,,
5713,Semarang,Hutan Wisata Tinjomoyo Semarang,Pantai Cipta,Brown Canyon,Desa Wisata Lembah Kalipancur,Indonesia Kaya Park,Desa Wisata Lembah Kalipancur,Indonesia Kaya Park,Indonesia Kaya Park
5714,Semarang,Waduk Jatibarang,Flower Farm Setiya Aji,Masjid Agung Ungaran,,,,,
5715,Surabaya,Keraton Surabaya,Museum Mpu Tantular,Balai Kota Surabaya,| Food Junction Grand Pakuwon,,| Food Junction Grand Pakuwon,,
5716,Yogyakarta,Kauman Pakualaman Yogyakarta,The World Landmarks - Merapi Park Yogyakarta,Pantai Samas,,,,,
5717,Yogyakarta,Pantai Drini,Embung Tambakboyo,Pantai Krakal,Nol Kilometer Jl.Malioboro,Bukit Wisata Pulepayung,Nol Kilometer Jl.Malioboro,Bukit Wisata Pulepayung,Bukit Wisata Pulepayung
5718,Jakarta,Pasar Taman Puring,Taman Menteng,Pasar Seni,Taman Agrowisata Cilangkap,Pasar Tanah Abang,Taman Agrowisata Cilangkap,Pasar Tanah Abang,Pasar Tanah Abang
5719,Jakarta,Taman Agrowisata Cilangkap,Jembatan Kota Intan,Freedom Library,Klenteng Jin De Yuan,,Klenteng Jin De Yuan,,
5720,Surabaya,Monumen Kapal Selam,Taman Barunawati,Taman Kunang-Kunang,House of Sampoerna,,House of Sampoerna,,
5721,Yogyakarta,Green Village Gedangsari,Hutan Pinus Asri,Sindu Kusuma Edupark (SKE),Air Terjun Kedung Pedut,,Air Terjun Kedung Pedut,,
5722,Semarang,Kampung Tematik Jawi,Old City 3D Trick Art Museum,Indonesia Kaya Park,Old City 3D Trick Art Museum,Sam Poo Kong Temple,Old City 3D Trick Art Museum,Sam Poo Kong Temple,Sam Poo Kong Temple
5723,Surabaya,Atlantis Land Surabaya,Hutan Pinus Kayon,Museum Mpu Tantular,Hutan Pinus Kayon,,Hutan Pinus Kayon,,
5724,Bandung,NuArt Sculpture Park,Taman Hutan Raya Ir. H. Djuanda,Roemah Seni Sarasvati,Pesona Nirwana Waterpark & Cottages,Museum Pendidikan Nasional,Pesona Nirwana Waterpark & Cottages,Museum Pendidikan Nasional,Museum Pendidikan Nasional
5725,Surabaya,Masjid Kapal Semarang,Taman Harmoni Keputih,Taman Ekspresi Dan Perpustakaan,Kebun Bibit Wonorejo,,Kebun Bibit Wonorejo,,
5726,Surabaya,Taman Air Mancur Menari Kenjeran,Kampoeng Rawa,Kampoeng Rawa,Balai Kota Surabaya,,Balai Kota Surabaya,,
5727,Jakarta,Taman Cattleya,Pulau Pari,Museum Nasional,Taman Mini Indonesia Indah (TMII),,Taman Mini Indonesia Indah (TMII),,
5728,Semarang,Gua Maria Kerep Ambarawa,Benteng Pendem,Tugu Muda Semarang,Waduk Jatibarang,,Waduk Jatibarang,,
5729,Yogyakarta,Embung Tambakboyo,Hutan Pinus Asri,Hutan Mangrove Kulon Progo,,,,,
5730,Yogyakarta,Monumen Sanapati,Galaxy Waterpark Jogja,De Mata Museum Jogja,,,,,
5731,Semarang,Kampung Tematik Jawi,Durian Gardens and Tourism Education Watu Simbar,Sam Poo Kong Temple,Kampung Batik Gedong Semarang,Masjid Agung Ungaran,Kampung Batik Gedong Semarang,Masjid Agung Ungaran,Masjid Agung Ungaran
5732,Surabaya,Museum Kesehatan Dr. Adhyatma,Hutan Bambu Keputih,Taman Flora Bratang Surabaya,Monumen Jalesveva Jayamahe,,Monumen Jalesveva Jayamahe,,
5733,Semarang,Kampoeng Kopi Banaran,La Kana Chapel,Wisata Mangrove Tapak,Kampung Batik Gedong Semarang,Wisata Alam Wana Wisata Penggaron,Kampung Batik Gedong Semarang,Wisata Alam Wana Wisata Penggaron,Wisata Alam Wana Wisata Penggaron
5734,Yogyakarta,Watu Goyang,Alun Alun Selatan Yogyakarta,Pantai Parangtritis,Kawasan Malioboro,,Kawasan Malioboro,,
5735,Yogyakarta,Pantai Kukup,Hutan Mangrove Kulon Progo,Pantai Kukup,,,,,
5736,Surabaya,Taman Bungkul,Rumah Batik,Museum Kesehatan Dr. Adhyatma,Rumah Batik,,Rumah Batik,,
5737,Bandung,Museum Pos Indonesia,Roemah Seni Sarasvati,Monumen Bandung Lautan Api,| Peta Park,Pesona Nirwana Waterpark & Cottages,| Peta Park,Pesona Nirwana Waterpark & Cottages,Pesona Nirwana Waterpark & Cottages
5738,Surabaya,Taman Keputran,Patung Buddha Empat Rupa,Taman Keputran,Waterpark Kenjeran Surabaya,,Waterpark Kenjeran Surabaya,,
5739,Bandung,Bukit Jamur,Chingu Cafe Little Seoul,Kebun Binatang Bandung,Curug Luhur Waterfall,Museum Geologi Bandung,Curug Luhur Waterfall,Museum Geologi Bandung,Museum Geologi Bandung
5740,Surabaya,Ciputra Waterpark,Ciputra Waterpark,Taman Flora Bratang Surabaya,Masjid Kapal Semarang,Hutan Pinus Kayon,Masjid Kapal Semarang,Hutan Pinus Kayon,Hutan Pinus Kayon
5741,Bandung,Gunung Papandayan,Curug Dago, Panama Park 825,Ade Irma Suryani Nasution Traffic Park,Kawasan Punclut,Ade Irma Suryani Nasution Traffic Park,Kawasan Punclut,Kawasan Punclut
5742,Semarang,Taman Pandanaran,Air Terjun Semirang,Saloka Theme Park,Kota Lama Semarang,Watu Gunung Ungaran,Kota Lama Semarang,Watu Gunung Ungaran,Watu Gunung Ungaran
5743,Surabaya,Kebun Bibit Wonorejo,Taman Barunawati,Atlantis Land Surabaya,Kampoeng Rawa,House of Sampoerna,Kampoeng Rawa,House of Sampoerna,House of Sampoerna
5744,Bandung,NuArt Sculpture Park,Masjid Pusdai,NuArt Sculpture Park,Museum Geologi Bandung,Panghegar Waterboom Bandung,Museum Geologi Bandung,Panghegar Waterboom Bandung,Panghegar Waterboom Bandung
5745,Jakarta,Pulau Pramuka,Museum Macan (Modern and Contemporary Art in Nusantara),Waterboom PIK (Pantai Indah Kapuk),Masjid Istiqlal,,Masjid Istiqlal,,
5746,Jakarta,Museum Seni Rupa dan Kramik,Wisata Kuliner Pecenongan,Tugu Proklamasi,Taman Ayodya,,Taman Ayodya,,
5747,Surabaya,Taman Barunawati,Monumen Tugu Pahlawan,Museum Kesehatan Dr. Adhyatma,Taman Air Mancur Menari Kenjeran,Taman Harmoni Keputih,Taman Air Mancur Menari Kenjeran,Taman Harmoni Keputih,Taman Harmoni Keputih
5748,Surabaya,| Food Junction Grand Pakuwon,Kebun Bibit Wonorejo,Taman Harmoni Keputih,Ciputra Waterpark,Monumen Kapal Selam,Ciputra Waterpark,Monumen Kapal Selam,Monumen Kapal Selam
5749,Jakarta,Taman Lapangan Banteng,Hutan Kota Srengseng,Wisata Agro Edukatif Istana Susu Cibugary,Pulau Pari,,Pulau Pari,,
5750,Surabaya,| Food Junction Grand Pakuwon,Klenteng Sanggar Agung,Surabaya North Quay,Kenjeran Park,,Kenjeran Park,,
5751,Surabaya,Taman Prestasi,Monumen Jalesveva Jayamahe,Taman Bungkul,Kampoeng Rawa,,Kampoeng Rawa,,
5752,Bandung,Lembang Park & Zoo,Kyotoku Floating Market,Masjid Raya Bandung,Orchid Forest Cikole,Saung Angklung Mang Udjo,Orchid Forest Cikole,Saung Angklung Mang Udjo,Saung Angklung Mang Udjo
5753,Bandung,Taman Balai Kota Bandung,Curug Cipanas,Kebun Tanaman Obat Sari Alam,Museum Konferensi Asia Afrika,Kyotoku Floating Market,Museum Konferensi Asia Afrika,Kyotoku Floating Market,Kyotoku Floating Market
5754,Semarang,Kampung Tematik Jawi,Watu Gunung Ungaran,Wisata Eling Bening,Watu Gunung Ungaran,Semarang Chinatown,Watu Gunung Ungaran,Semarang Chinatown,Semarang Chinatown
5755,Jakarta,Galeri Nasional Indonesia,Museum Joang 45,Pulau Pelangi,Taman Ayodya,,Taman Ayodya,,
5756,Yogyakarta,Seribu Batu Songgo Langit,Alun-alun Utara Keraton Yogyakarta,Geoforest Watu Payung Turunan,Geoforest Watu Payung Turunan,Pantai Nguluran,Geoforest Watu Payung Turunan,Pantai Nguluran,Pantai Nguluran
5757,Yogyakarta,Pantai Indrayanti,Pantai Drini,Pantai Glagah,Taman Pelangi Jogja,Bukit Wisata Pulepayung,Taman Pelangi Jogja,Bukit Wisata Pulepayung,Bukit Wisata Pulepayung
5758,Semarang,Gua Maria Kerep Ambarawa,Waduk Jatibarang,Durian Gardens and Tourism Education Watu Simbar,Tugu Muda Semarang,Semarang Contemporary Art Gallery,,Semarang Contemporary Art Gallery,Semarang Contemporary Art Gallery
5759,Semarang,Waduk Jatibarang,Monumen Palagan Ambarawa,Air Terjun Semirang,Gua Maria Kerep Ambarawa,Wisata Alam Wana Wisata Penggaron,Gua Maria Kerep Ambarawa,Wisata Alam Wana Wisata Penggaron,Wisata Alam Wana Wisata Penggaron
5760,Bandung,Jendela Alam,Museum Pendidikan Nasional,Taman Begonia,Saung Angklung Mang Udjo,Mountain View Golf Club,Saung Angklung Mang Udjo,Mountain View Golf Club,Mountain View Golf Club
5761,Yogyakarta,Embung Tambakboyo,Monumen Sanapati,Nol Kilometer Jl.Malioboro,,,,,
5762,Yogyakarta,Hutan Pinus Asri,Goa Pindul,Lava Bantal,,,,,
5763,Jakarta,Alive Museum Ancol,Taman Lapangan Banteng,Pulau Pramuka,Pasar Tanah Abang,,Pasar Tanah Abang,,
5764,Semarang,Kampung Tematik Jawi,Watu Gunung Ungaran,Sam Poo Kong Temple,Grand Maerakaca,Kampung Tematik Jawi,Grand Maerakaca,Kampung Tematik Jawi,Kampung Tematik Jawi
5765,Yogyakarta,Candi Prambanan,Bukit Paralayang,,,,,,
5766,Bandung,| Peta Park,Kampung Korea Bandung,Museum Pos Indonesia,Taman Budaya Jawa Barat,Taman Film,Taman Budaya Jawa Barat,Taman Film,Taman Film
5767,Bandung,Curug Malela,Monumen Bandung Lautan Api,NuArt Sculpture Park,Taman Film,Tafso Barn,Taman Film,Tafso Barn,Tafso Barn
5768,Jakarta,Alive Museum Ancol,Waterboom PIK (Pantai Indah Kapuk),Taman Ayodya,Waterboom PIK (Pantai Indah Kapuk),,Waterboom PIK (Pantai Indah Kapuk),,
5769,Semarang,Umbul Sidomukti,Wisata Alam Wana Wisata Penggaron,Lawang Sewu,Semarang Gallery,Benteng Pendem,Semarang Gallery,Benteng Pendem,Benteng Pendem
5770,Bandung,Curug Malela,Curug Cipanas,Taman Film,Taman Miniatur Kereta Api,Bukit Jamur,Taman Miniatur Kereta Api,Bukit Jamur,Bukit Jamur
5771,Semarang,Tugu Muda Semarang,La Kana Chapel,Air Terjun Semirang,Pura Giri Natha,Taman Srigunting,Pura Giri Natha,Taman Srigunting,Taman Srigunting
5772,Yogyakarta,Pasar Kebon Empring Bintaran,Air Terjun Kedung Pedut,Pantai Ngrenehan,,,,,
5773,Yogyakarta,Desa Wisata Sungai Code Jogja Kota,Pasar Beringharjo,Seribu Batu Songgo Langit,Bunker Kaliadem Merapi,Pantai Nglambor,Bunker Kaliadem Merapi,Pantai Nglambor,Pantai Nglambor
5774,Semarang,Jembatan Biru Ambarawa,Desa Wisata Lembah Kalipancur,Benteng Pendem,Semarang Chinatown,Taman Srigunting,Semarang Chinatown,Taman Srigunting,Taman Srigunting
5775,Jakarta,Masjid Istiqlal,Galeri Nasional Indonesia,Museum Bahari Jakarta,Gereja Katedral,,Gereja Katedral,,
5776,Semarang,Pantai Baruna,Pantai Marina,La Kana Chapel,,,,,
5777,Semarang,Sam Poo Kong Temple,Kampung Batik Gedong Semarang,Kampung Pelangi,Benteng Pendem,Kampung Batik Gedong Semarang,Benteng Pendem,Kampung Batik Gedong Semarang,Kampung Batik Gedong Semarang
5778,Surabaya,Kebun Binatang Surabaya,Taman Keputran,Taman Bungkul,Taman Harmoni Keputih,Taman Hiburan Rakyat,Taman Harmoni Keputih,Taman Hiburan Rakyat,Taman Hiburan Rakyat
5779,Surabaya,Masjid Kapal Semarang,Taman Barunawati,Keraton Surabaya,Taman Ekspresi Dan Perpustakaan,,Taman Ekspresi Dan Perpustakaan,,
5780,Jakarta,Pulau Bidadari,Ocean Ecopark,Museum Taman Prasasti,Museum Taman Prasasti,,Museum Taman Prasasti,,
5781,Surabaya,Taman Keputran,Monumen Jalesveva Jayamahe,Taman Air Mancur Menari Kenjeran,Monumen Tugu Pahlawan,,Monumen Tugu Pahlawan,,
5782,Semarang,Brown Canyon,Pantai Marina,Sam Poo Kong Temple,Tugu Muda Semarang,Wisata Alam Wana Wisata Penggaron,,Wisata Alam Wana Wisata Penggaron,Wisata Alam Wana Wisata Penggaron
5783,Bandung,Alun-Alun Kota Bandung,Monumen Perjuangan Rakyat Jawa Barat,Orchid Forest Cikole,Museum Geologi Bandung,Gunung Tangkuban Perahu,Museum Geologi Bandung,Gunung Tangkuban Perahu,Gunung Tangkuban Perahu
5784,Jakarta,Museum Sumpah Pemuda,Tugu Proklamasi,Museum Bank Indonesia,Alive Museum Ancol,,Alive Museum Ancol,,
5785,Yogyakarta,Watu Mabur Mangunan,Pantai Drini,Taman Pelangi Jogja,,,,,
5786,Yogyakarta,Wisata Kalibiru,Galaxy Waterpark Jogja,Kawasan Wisata Sosrowijayan,Gembira Loka Zoo,,Gembira Loka Zoo,,
5787,Surabaya,Ciputra Waterpark,Taman Prestasi,Taman Bungkul,Kebun Bibit Wonorejo,,Kebun Bibit Wonorejo,,
5788,Bandung, Panama Park 825,Curug Dago,Lawangwangi Creative Space,Kiara Artha Park,Taman Sejarah Bandung,Kiara Artha Park,Taman Sejarah Bandung,Taman Sejarah Bandung
5789,Semarang,Wisata Mangrove Tapak,Semarang Chinatown,Wisata Alam Wana Wisata Penggaron,Pantai Marina,,Pantai Marina,,
5790,Bandung,Gua Pawon,Curug Bugbrug,Monumen Bandung Lautan Api,Monumen Bandung Lautan Api,Orchid Forest Cikole,Monumen Bandung Lautan Api,Orchid Forest Cikole,Orchid Forest Cikole
5791,Yogyakarta,Desa Wisata Sungai Code Jogja Kota,Green Village Gedangsari,Desa Wisata Sungai Code Jogja Kota,,,,,
5792,Semarang,Monumen Palagan Ambarawa,Water Blaster Bukit Candi Golf,Watu Gunung Ungaran,Kampoeng Djadhoel Semarang,Wisata Mangrove Tapak,Kampoeng Djadhoel Semarang,Wisata Mangrove Tapak,Wisata Mangrove Tapak
